readcode,readterm,cat
A700.,Viral hepatitis A with coma,Liver disease
G85..,Oesophageal varices,Liver disease
J622.,Encephalopathy - hepatic,Liver disease
J622.,Hepatic coma,Liver disease
7609z,Open operation on oesophageal varices NOS,Liver disease
573 B,HEPATIC COMA,Liver disease
G851.,Oesophageal varices without bleeding,Liver disease
J62y.,Other sequelae of chronic liver disease,Liver disease
A704.,Other specified viral hepatitis with coma,Liver disease
J62z.,Liver abscess and chronic liver disease causing sequelae NOS,Liver disease
A704z,Other specified viral hepatitis with hepatic coma NOS,Liver disease
G858.,Oesophageal varices NOS,Liver disease
A7040,Viral hepatitis C with coma,Liver disease
760F3,Rigid oesophagoscopic injection sclerotherapy oesoph varices,Liver disease
76094,Open injection sclerotherapy to oesophageal varices,Liver disease
J623.,Portal hypertension,Liver disease
5719P,PORTAL HYPERTENSION,Liver disease
G8521,Oesophageal varices without bleeding in diseases EC,Liver disease
SP143,Hepatorenal syndrome as a complication of care,Liver disease
573 H,SYNDROME HEPATORENAL,Liver disease
J624.,Hepatorenal syndrome,Liver disease
79291,Percut transluminal coronary thrombolysis with streptokinase,Ischaemic heart disease
G38..,Postoperative myocardial infarction,Ischaemic heart disease
G3011,Acute anteroseptal infarction,Ischaemic heart disease
G30..,Thrombosis - coronary,Ischaemic heart disease
G3070,Acute non-Q wave infarction,Ischaemic heart disease
G3110,MI - myocardial infarction aborted,Ischaemic heart disease
G353.,Subsequent myocardial infarction of other sites,Ischaemic heart disease
G35X.,Subsequent myocardial infarction of unspecified site,Ischaemic heart disease
14A4.,H/O: myocardial infarct >60,Ischaemic heart disease
G301.,Other specified anterior myocardial infarction,Ischaemic heart disease
14AH.,H/O: Myocardial infarction in last year,Ischaemic heart disease
G384.,Postoperative subendocardial myocardial infarction,Ischaemic heart disease
G307.,Acute subendocardial infarction,Ischaemic heart disease
G304.,Posterior myocardial infarction NOS,Ischaemic heart disease
Gyu34,[X]Acute transmural myocardial infarction of unspecif site,Ischaemic heart disease
G30..,Heart attack,Ischaemic heart disease
79291,Percut translum coronary thrombolytic therapy- streptokinase,Ischaemic heart disease
G32..,Old myocardial infarction,Ischaemic heart disease
G305.,Lateral myocardial infarction NOS,Ischaemic heart disease
G32..,Healed myocardial infarction,Ischaemic heart disease
G35..,Subsequent myocardial infarction,Ischaemic heart disease
G308.,Inferior myocardial infarction NOS,Ischaemic heart disease
G380.,Postoperative transmural myocardial infarction anterior wall,Ischaemic heart disease
889A.,Diab mellit insulin-glucose infus acute myocardial infarct,Ischaemic heart disease
G30..,MI - acute myocardial infarction,Ischaemic heart disease
G30..,Acute myocardial infarction,Ischaemic heart disease
G3110,Myocardial infarction aborted,Ischaemic heart disease
G30y.,Other acute myocardial infarction,Ischaemic heart disease
G30..,Coronary thrombosis,Ischaemic heart disease
G351.,Subsequent myocardial infarction of inferior wall,Ischaemic heart disease
Gyu35,[X]Subsequent myocardial infarction of other sites,Ischaemic heart disease
G3071,Acute non-ST segment elevation myocardial infarction,Ischaemic heart disease
G381.,Postoperative transmural myocardial infarction inferior wall,Ischaemic heart disease
323Z.,ECG: myocardial infarct NOS,Ischaemic heart disease
4109T,THROMBOSIS CORONARY,Ischaemic heart disease
G303.,Acute inferoposterior infarction,Ischaemic heart disease
G306.,True posterior myocardial infarction,Ischaemic heart disease
G350.,Subsequent myocardial infarction of anterior wall,Ischaemic heart disease
14A3.,H/O: myocardial infarct <60,Ischaemic heart disease
G36..,Certain current complication follow acute myocardial infarct,Ischaemic heart disease
G30yz,Other acute myocardial infarction NOS,Ischaemic heart disease
3232,ECG: old myocardial infarction,Ischaemic heart disease
G302.,Acute inferolateral infarction,Ischaemic heart disease
G344.,Silent myocardial ischaemia,Ischaemic heart disease
G30..,Cardiac rupture following myocardial infarction (MI),Ischaemic heart disease
4109N,CORONARY INFARCTION,Ischaemic heart disease
G300.,Acute anterolateral infarction,Ischaemic heart disease
429 A,HEART ATTACK,Ischaemic heart disease
G301z,Anterior myocardial infarction NOS,Ischaemic heart disease
323..,ECG: myocardial infarction,Ischaemic heart disease
G30z.,Acute myocardial infarction NOS,Ischaemic heart disease
G30B.,Acute posterolateral myocardial infarction,Ischaemic heart disease
G30..,Silent myocardial infarction,Ischaemic heart disease
G310.,Postmyocardial infarction syndrome,Ischaemic heart disease
Gyu36,[X]Subsequent myocardial infarction of unspecified site,Ischaemic heart disease
G30X0,Acute ST segment elevation myocardial infarction,Ischaemic heart disease
G32..,Personal history of myocardial infarction,Ischaemic heart disease
G38z.,"Postoperative myocardial infarction, unspecified",Ischaemic heart disease
G383.,Postoperative transmural myocardial infarction unspec site,Ischaemic heart disease
14AT.,History of myocardial infarction,Ischaemic heart disease
G30X.,Acute transmural myocardial infarction of unspecif site,Ischaemic heart disease
TB001,"Renal transplant with complication, without blame",Renal disease
K013.,Lipoid nephrosis,Renal disease
1Z1D.,CKD stage 3A with proteinuria,Renal disease
ZV56y,[V]Aftercare involving peritoneal dialysis,Renal disease
K0A56,"Hereditary nephropathy, NEC, dense deposit disease",Renal disease
K0C0.,Analgesic nephropathy,Renal disease
1Z19.,Chronic kidney disease stage 2 with proteinuria,Renal disease
7B002,Transplantation of kidney from cadaver,Renal disease
1Z11.,Chronic kidney disease stage 2,Renal disease
D2150,Anaemia secondary to chronic renal failure,Renal disease
K104.,Xanthogranulomatous pyelonephritis,Renal disease
K05..,Chronic uraemia,Renal disease
7B006,Xenograft renal transplant,Renal disease
K08y0,Hypokalaemic nephropathy,Renal disease
C341z,Gouty nephropathy NOS,Renal disease
7B002,Allotransplantation of kidney from cadaver,Renal disease
Q48y0,Congenital renal failure,Renal disease
K0A04,Ac neph syn difus endocaplry prolifrative glomerulonephritis,Renal disease
K00y.,Other acute glomerulonephritis,Renal disease
K0802,Renal infantilism,Renal disease
1Z1B.,Chronic kidney disease stage 3 with proteinuria,Renal disease
K0A17,Rapid progres nephritic syn df crescentic glomerulonephritis,Renal disease
Kyu10,[X]Other chronic tubulo-interstitial nephritis,Renal disease
K10y.,Pyelonephritis and pyonephrosis unspecified,Renal disease
1Z1..,Chronic renal impairment,Renal disease
K01y.,Nephrotic syndrome with other pathological kidney lesions,Renal disease
K0A07,Acute nephrotic syndrm diffuse crescentic glomerulonephritis,Renal disease
K0A37,Chronic nephritic syn diffuse crescentic glomerulonephritis,Renal disease
K0324,Familial glomerulonephritis in Alport's syndrome,Renal disease
Kyu2.,[X]Renal failure,Renal disease
K0D..,End-stage renal disease,Renal disease
7L1f0,Extracorporeal albumin haemodialysis,Renal disease
K06..,Renal failure unspecified,Renal disease
K00y2,Acute focal nephritis,Renal disease
SP08F,Acute rejection of renal transplant - grade II,Renal disease
1Z1J.,Chronic kidney disease stage 4 without proteinuria,Renal disease
1Z1K.,Chronic kidney disease stage 5 with proteinuria,Renal disease
K03y2,Other interstitial nephritis,Renal disease
K018.,"Nephrotic syn,difus endocapilary proliftv glomerulonephritis",Renal disease
SP083,Kidney transplant failure and rejection,Renal disease
SP0G.,Anaphylactoid reaction due to haemodialysis,Renal disease
66i..,Chronic kidney disease monitoring,Renal disease
K08yz,Other impaired renal function disorder NOS,Renal disease
K042.,Acute renal medullary necrosis,Renal disease
A1600,Tuberculous nephropathy,Renal disease
582 N,CHRONIC NEPHRITIS,Renal disease
72573,Correction iridodialysis NEC,Renal disease
K03..,Nephritis and nephropathy unspecified,Renal disease
K1000,Chronic pyelonephritis without medullary necrosis,Renal disease
ZVu3G,[X]Other dialysis,Renal disease
7L1A4,Automated peritoneal dialysis,Renal disease
K060.,Impaired renal function,Renal disease
F447C,Iridodialysis,Renal disease
K001.,Acute nephritis with lesions of necrotising glomerulitis,Renal disease
K06..,Uraemia NOS,Renal disease
Kyu11,[X]Other and unspecified hydronephrosis,Renal disease
SP08J,Chronic rejection of renal transplant,Renal disease
K0A06,"Acute nephritic syndrome, dense deposit disease",Renal disease
G222.,Hypertensive renal disease with renal failure,Renal disease
C3724,Uric acid nephropathy,Renal disease
Kyu1E,"[X]Tubulo-interstit nephritis, not specif as acute or chron",Renal disease
1Z15.,Chronic kidney disease stage 3A,Renal disease
1Z13.,Chronic kidney disease stage 4,Renal disease
K08y7,Acute infective interstitial nephritis,Renal disease
K0A51,"Hereditary nephropathy NEC,focal+segmnt glomerular lesion",Renal disease
K03y.,Other nephritis and nephrosis unspecified,Renal disease
K05..,Chronic renal failure,Renal disease
K032y,Mesangiocapillary glomerulonephritis NEC,Renal disease
K13yz,Salt-losing nephritis,Renal disease
K0A00,"Acute nephritic syndrome, minor glomerular abnormality",Renal disease
K02..,Nephritis - chronic,Renal disease
K032.,Membranoproliferative nephritis unspecified,Renal disease
9Ot4.,Chronic kidney disease monitoring telephone invite,Renal disease
Kyu20,[X]Other acute renal failure,Renal disease
K0A1.,Rapidly progressive nephritic syndrome,Renal disease
K0z..,"Nephritis, nephrosis and nephrotic syndrome NOS",Renal disease
7L1A2,Haemodialysis NEC,Renal disease
ZV560,[V]Aftercare involving extracorporeal dialysis,Renal disease
661M2,Chronic kidney disease self-management plan agreed,Renal disease
Z9193,Reversing haemodialysis lines,Renal disease
7A619,Ligation of arteriovenous dialysis fistula,Renal disease
K0A34,Chron neph syn difuse endocap prolifrativ glomerulonephritis,Renal disease
K1011,Acute pyelonephritis with medullary necrosis,Renal disease
K1004,Nonobstructive reflux-associated chronic pyelonephritis,Renal disease
K0A30,"Chronic nephritic syndrome, minor glomerular abnormality",Renal disease
7L1A6,Peritoneal dialysis NEC,Renal disease
K08y5,Acute tubulo-interstitial nephritis,Renal disease
8L50.,Renal transplant planned,Renal disease
K0A12,Rapid progres neph syn diffuse membranous glomerulonephritis,Renal disease
K0A4W,"Isolated proteinuria, with unspecified morpholog changes",Renal disease
K08y5,AIN - Acute interstitial nephritis,Renal disease
7L1A0,Renal dialysis,Renal disease
7L1A.,Compensation for renal failure,Renal disease
K08z.,Impaired renal function disorder NOS,Renal disease
F4104,New partial retinal detachment with retinal dialysis,Renal disease
K0326,Berger's IgA or IgG nephropathy,Renal disease
K0A0.,Acute nephritic syndrome,Renal disease
72610,Cyclodialysis,Renal disease
F374A,Polyneuropathy in uraemia,Renal disease
1Z1K.,CKD stage 5 with proteinuria,Renal disease
K02y3,Chronic diffuse glomerulonephritis,Renal disease
1Z17.,CKD stage 1 with proteinuria,Renal disease
A786.,Haemorrhagic nephrosonephritis,Renal disease
Gy41.,Infection of dialysis arteriovenous fistula,Renal disease
SP08V,Very mild acute rejection of renal transplant,Renal disease
9Ot0.,Chronic kidney disease monitoring first letter,Renal disease
Gy5..,Haemorrhage of dialysis vascular access,Renal disease
K023.,Chronic rapidly progressive glomerulonephritis,Renal disease
K00y0,Acute glomerulonephritis in diseases EC,Renal disease
K02y0,Chronic glomerulonephritis + diseases EC,Renal disease
K051.,Chronic kidney disease stage 1,Renal disease
7B0Fz,Interventions associated with transplantation of kidney NOS,Renal disease
K0E..,Acute-on-chronic renal failure,Renal disease
7L1B.,Placement ambulatory dialysis apparatus - compens renal fail,Renal disease
7B063,Exploration of renal transplant,Renal disease
K03U.,"Unspecif nephr synd, diff concentric glomerulonephritis",Renal disease
K0A55,[X]Heredtry nephrpthy NEC difus mesangiocapilry glomneph,Renal disease
7L1B2,Flushing of peritoneal dialysis catheter,Renal disease
7L1Cy,Placement other apparatus- compensate for renal failure OS,Renal disease
K00yz,Other acute glomerulonephritis NOS,Renal disease
K012.,Nephrotic syndrome+membranoproliferative glomerulonephritis,Renal disease
TB001,"Kidney transplant with complication, without blame",Renal disease
K010.,Nephrotic syndrome with proliferative glomerulonephritis,Renal disease
A8441,Plasmodium malariae malaria with nephropathy,Renal disease
7L1B0,Insertion of ambulatory peritoneal dialysis catheter,Renal disease
7L1B1,Removal of ambulatory peritoneal dialysis catheter,Renal disease
K08y.,Other impaired renal function disorder,Renal disease
K01w.,Congenital nephrotic syndrome,Renal disease
K016.,"Nephrotic syndrome, diffuse membranous glomerulonephritis",Renal disease
K03X.,"Unsp nephrit synd, diff mesang prolif glomerulonephritis",Renal disease
K1006,Calculous pyelonephritis,Renal disease
7L1Ay,Other specified compensation for renal failure,Renal disease
7B002,Cadaveric renal transplant,Renal disease
K0322,Focal glomerulon + focal recurr macroscop glomerulonephritis,Renal disease
K080.,Renal osteodystrophy,Renal disease
K01x4,Lupus nephritis,Renal disease
K1002,Chronic pyelitis,Renal disease
K050.,End stage renal failure,Renal disease
583 M,MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS,Renal disease
K100.,Chronic pyelonephritis,Renal disease
K000.,Acute proliferative glomerulonephritis,Renal disease
ZV451,[V]Renal dialysis status,Renal disease
1Z17.,Chronic kidney disease stage 1 with proteinuria,Renal disease
14V2.,H/O: kidney dialysis,Renal disease
Kyu21,[X]Other chronic renal failure,Renal disease
SP08N,Unexplained episode of renal transplant dysfunction,Renal disease
K01w0,Finnish nephrosis syndrome,Renal disease
K0A31,Chronic nephritic syndrm focal+segmental glomerular lesions,Renal disease
K021.,Chronic membranous glomerulonephritis,Renal disease
K0B6.,Balkan nephropathy,Renal disease
K03T.,"Tubulo-interstit nephritis, not specif as acute or chron",Renal disease
5932E,CHRONIC RENAL FAILURE,Renal disease
5932E,RENAL FAILURE,Renal disease
4I29.,Peritoneal dialysis sample,Renal disease
SP0F.,Haemodialysis first use syndrome,Renal disease
7L1Az,Compensation for renal failure NOS,Renal disease
K053.,Chronic kidney disease stage 3,Renal disease
K0A52,"Hereditry nephropathy NEC,difus membran glomerulnephritis",Renal disease
9Ot1.,Chronic kidney disease monitoring second letter,Renal disease
K033.,Rapidly progressive nephritis unspecified,Renal disease
K01x1,Nephrotic syndrome in diabetes mellitus,Renal disease
1Z1F.,CKD stage 3B with proteinuria,Renal disease
14D1.,H/O: nephritis,Renal disease
Z1A..,Dialysis training,Renal disease
TB11.,"Renal dialysis with complication, without blame",Renal disease
K02..,Nephropathy - chronic,Renal disease
7L1By,Placement ambulatory apparatus- compensate renal failure OS,Renal disease
7L1A0,Thomas intravascular shunt for dialysis,Renal disease
SP08G,Acute rejection of renal transplant - grade III,Renal disease
G233.,Hypertensive heart and renal disease with renal failure,Renal disease
4N0..,Dialysis fluid urea level,Renal disease
ZV560,[V]Aftercare involving renal dialysis NOS,Renal disease
K08y5,Acute interstitial nephritis,Renal disease
D3101,Henoch-Schonlein nephritis,Renal disease
K02..,Chronic glomerulonephritis,Renal disease
K04z.,Acute renal failure NOS,Renal disease
K1010,Acute pyelonephritis without medullary necrosis,Renal disease
Kyu14,[X]Nephropathy induced by other drugs+biological substances,Renal disease
1Z1D.,Chronic kidney disease stage 3A with proteinuria,Renal disease
K04E.,Acute kidney injury stage 3,Renal disease
Gy21.,Thrombosis of dialysis arteriovenous fistula,Renal disease
K0A36,"Chronic nephritic syndrome, dense deposit disease",Renal disease
K01x3,Nephrotic syndrome in polyarteritis nodosa,Renal disease
K011.,Nephrotic syndrome with membranous glomerulonephritis,Renal disease
K06..,Kidney failure unspecified,Renal disease
K054.,Chronic kidney disease stage 4,Renal disease
K032y,Mesangioproliferative glomerulonephritis NEC,Renal disease
